LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
20,0,2,0,42,8,4,6,8,2,9,25,6691,93,753,5469,1044,3636,2240,3835,3879,5944,5026,-1
53,0,0,2,31,8,4,8,8,8,3,10573,14671,16152,17188,16652,439,1856,3985,4299,1627,253,4558,-1
72,0,0,0,36,9,2,6,4,3,5,19351,4492,3855,19512,14419,15948,464,6440,7465,4121,5606,3433,-1
75,0,1,2,25,8,10,6,2,5,0,9449,20402,5201,6117,6747,1683,1530,3973,6229,1001,5880,4008,-1
47,0,1,3,42,8,8,7,3,7,7,15161,7070,15939,15368,5710,16612,150,1563,5003,3929,5763,22,-1
58,0,1,0,45,10,1,1,3,7,7,18529,15305,19319,15965,7381,2170,1570,3558,3619,841,1563,2670,-1
74,0,0,3,26,8,1,5,0,2,4,8853,18329,19263,8731,19002,13015,2478,7596,7213,1474,4551,3245,-1
61,0,1,1,7,7,9,0,10,6,8,12949,18428,4918,8646,7227,15037,4142,1357,4205,5612,2606,131,-1
40,0,0,1,41,8,8,5,2,3,3,22000,20054,20747,8688,18590,5378,3432,7367,4332,1014,4159,1112,-1
74,0,1,0,15,9,3,8,9,2,0,10514,9441,21594,10218,8957,13229,3758,3747,2570,5779,4834,5683,-1
55,0,1,0,16,8,0,1,2,8,6,12575,14101,13112,2032,12646,1265,4600,3429,7501,3154,1676,1695,-1
54,0,1,0,27,8,10,1,6,9,5,8842,13074,3228,9985,3687,12584,7698,1410,751,4415,5521,6776,-1
76,0,1,3,35,9,0,8,4,9,7,8296,15701,13228,13667,6815,15608,6540,3330,7081,1978,6116,2218,-1
71,0,6,0,27,4,6,5,8,9,6,16311,18938,5322,18641,7199,19564,2872,2041,3601,4816,3213,3505,-1
22,0,6,1,39,0,4,2,0,4,4,20652,1045,348,196,7046,10583,6735,3448,5194,1077,1780,1714,-1
1,0,1,2,44,10,1,3,3,7,8,8899,16274,20960,10639,9800,11543,2364,3014,1288,4426,3095,1169,-1
30,0,0,0,30,10,4,7,9,3,6,8751,15567,19979,11557,6675,13360,6301,202,4440,4090,5634,44,-1
57,0,3,3,51,6,10,3,3,7,8,19860,6532,3831,6845,12314,17677,4214,183,1061,6537,1807,3647,-1
0,0,0,0,23,0,5,8,0,8,2,20852,5643,9177,17299,7192,4731,5597,3004,3732,4233,1720,3460,-1
1,0,0,1,6,9,10,5,3,3,1,22116,5145,14858,17933,20229,16854,7616,6482,4767,4814,4589,2163,-1
58,0,2,3,41,8,1,6,5,9,8,2156,1130,14445,14192,7382,1288,1804,43,1257,2379,3052,2818,-1
66,0,0,2,41,7,7,2,2,9,9,10453,2421,14992,824,19602,10278,7584,2142,3422,5280,30,3689,-1
23,0,5,0,40,9,5,9,7,6,9,457,20789,19069,21006,9117,19344,2442,814,737,692,2334,3143,-1
61,0,1,1,45,9,0,4,10,8,3,1275,12557,5564,10115,8406,8715,5120,3392,713,469,1516,3781,-1
77,0,1,3,4,9,4,7,2,1,9,3885,19961,19088,4977,11115,15654,5616,1527,1875,4886,1434,5350,-1
20,0,6,1,27,6,4,10,3,8,9,18584,14321,17209,8501,16632,10255,602,1816,356,6726,528,5735,-1
12,0,0,1,24,9,10,5,2,6,1,14046,20478,20330,21016,2589,8190,756,1336,337,3486,4868,4318,-1
0,0,0,3,29,8,6,1,8,9,8,76,11542,10602,795,7819,19549,3844,977,6831,5581,4854,697,-1
27,0,0,0,3,9,1,7,3,2,9,19527,4265,12691,400,12054,1832,6498,5128,5791,4010,954,584,-1
61,0,1,3,14,10,2,7,9,2,2,20918,175,19734,13628,17844,17477,6123,2219,4500,2645,5444,1426,-1
64,0,1,2,30,9,4,9,3,3,8,11698,19711,1217,5698,9429,17779,1648,1783,4256,5033,1043,1159,-1
47,0,3,1,31,5,9,2,9,8,5,984,8150,18464,13507,4569,12736,1959,1597,3968,2612,3474,4938,-1
62,0,1,2,14,9,4,10,1,2,0,8895,20979,4876,21099,9480,635,6108,6901,2595,478,2977,4571,-1
21,0,0,2,8,8,0,3,3,5,1,10563,15965,1071,21304,10818,16484,5746,3441,6333,502,6078,5509,-1
72,0,0,2,27,10,4,6,2,3,1,21110,3898,13471,15529,16864,8644,6207,3536,1059,423,3518,5639,-1
27,0,5,1,2,7,10,8,9,3,1,20950,9240,11972,5674,19206,3159,850,1125,2320,3056,1656,2848,-1
46,0,0,1,33,9,1,7,9,2,5,9010,8347,8096,11300,11320,1118,174,7673,4256,126,3892,3458,-1
76,0,2,3,6,10,9,1,3,7,9,6382,9579,4503,21469,14584,7295,1492,6026,4944,1536,4160,4874,-1
70,0,1,1,0,5,0,2,5,7,8,17770,18740,2075,9747,16321,20205,110,1084,6897,3715,6639,362,-1
27,0,2,3,6,8,10,7,4,8,5,22407,732,13538,18294,16569,8569,2901,2259,5419,1077,6870,2918,-1
6,0,5,1,52,6,7,3,7,6,2,16704,3873,18603,12930,8344,16187,941,1267,1660,4277,4604,6419,-1
16,0,2,0,23,8,7,0,3,8,1,21257,925,2770,21036,10449,16505,5608,6454,1075,6648,43,5500,-1
50,0,1,0,6,5,1,2,5,8,0,17637,9010,5331,7332,14491,11779,6183,2024,5902,3729,4763,4976,-1
3,0,6,2,34,7,10,1,7,5,7,9683,14393,11665,6869,17500,6768,4918,835,6956,2363,5922,4815,-1
40,0,5,3,41,4,10,9,10,6,2,12616,9617,13958,19419,5320,3647,4800,2112,640,2964,4281,976,-1
39,0,2,3,25,9,3,4,0,5,9,3781,2448,10297,6604,3763,1018,933,6177,4501,1870,155,5408,-1
40,0,0,2,30,10,5,10,5,6,6,10365,20232,10235,12491,11146,10636,4953,2859,2490,6039,1607,5172,-1
31,0,1,3,18,10,7,1,9,9,9,14499,18433,17344,17441,18637,871,3271,6229,1198,2473,5275,6187,-1
8,0,2,0,9,9,7,5,5,7,9,11245,17477,19549,2837,15017,16408,3426,7091,6137,3308,1294,16,-1
55,0,2,3,52,9,10,6,4,6,8,17923,4804,10357,12790,1771,12201,1551,3057,5400,1299,4681,1191,-1
23,0,2,0,54,9,4,6,5,4,4,6023,17310,15886,13492,18277,12625,5295,4014,233,715,3371,1927,-1
60,0,1,1,32,5,9,0,2,9,6,3757,1566,19564,14651,1043,9793,4007,227,4208,6159,5600,3066,-1
78,0,0,3,6,8,1,7,2,1,6,16416,4388,7819,12058,20792,9610,5630,2121,533,1293,4608,6875,-1
63,0,0,0,51,9,1,9,4,3,7,15187,19473,13158,311,1477,9805,2899,3517,2792,1812,1911,4216,-1
70,0,1,3,5,2,10,5,9,5,2,19532,18162,8153,15849,12835,11685,4362,1488,230,269,2169,1802,-1
13,0,2,0,50,8,10,1,1,5,6,4521,2712,19434,3029,13408,12736,4498,3666,6353,1914,3881,2088,-1
69,0,0,1,49,9,8,2,3,3,0,5200,20750,11918,21153,11863,19255,4668,3649,7373,85,6101,1553,-1
12,0,0,1,37,7,0,7,9,5,8,6839,17261,9221,17510,17407,8557,5705,1881,6478,2780,1632,5702,-1
50,0,1,3,16,8,9,2,9,0,0,11124,2022,3710,20057,14470,18754,2848,7600,3346,767,5237,1354,-1
79,0,0,0,31,9,5,5,3,5,7,17727,3406,20095,11814,13158,6107,7152,5973,5155,6057,4484,6457,-1
60,0,0,1,19,8,9,9,3,9,3,2798,14636,12794,9019,8332,8267,768,457,6068,1092,6017,2576,-1
24,0,0,1,20,10,5,10,1,0,4,10878,1505,8028,21157,3074,15237,7566,1571,1905,5246,191,5585,-1
57,0,1,3,52,10,7,4,10,7,9,6041,1258,3738,16165,3007,17136,3865,1760,6991,5418,420,589,-1
45,0,1,2,11,9,6,4,2,2,7,19161,20157,818,12997,10701,17065,2303,135,224,1773,5274,5127,-1
11,0,1,0,17,10,10,6,1,6,4,7134,13284,15564,7389,19435,7090,7071,5236,5678,4456,220,1219,-1
40,0,0,0,51,9,1,3,7,6,3,17716,6868,9945,17207,7321,3169,2409,7314,3224,6841,530,5707,-1
37,0,1,0,55,8,9,0,5,3,7,6516,9194,9430,16724,16907,3539,2852,5247,3993,4933,4417,6779,-1
42,0,5,1,21,4,1,5,2,2,0,3446,20623,10056,10357,1745,18673,7895,399,456,5612,2917,3291,-1
62,0,2,0,9,8,6,7,10,3,2,11856,3704,11947,9422,18993,2936,629,7011,3431,1993,4218,4978,-1
74,0,6,2,12,7,3,7,2,4,1,3355,18923,1358,9425,9846,14482,3661,961,2139,6201,6132,6935,-1
40,0,2,0,28,8,7,8,5,8,5,4653,22029,17275,8605,13088,3078,2437,6623,6664,2522,6249,385,-1
10,0,0,3,1,8,7,0,1,1,1,8901,2377,15956,16930,6620,5536,2663,5980,5523,6872,3202,2208,-1
11,0,5,3,16,7,10,9,1,3,3,2278,12610,19535,7405,12128,6614,3473,2398,3511,6881,1834,1334,-1
12,0,0,2,23,1,5,8,0,9,0,22147,18065,21052,2748,17320,9369,6127,2993,4567,4114,4830,677,-1
27,0,0,1,37,9,3,4,2,1,9,11787,11915,5198,18524,8519,18227,3030,7659,6226,6095,559,4321,-1
7,0,4,3,23,4,7,9,9,2,4,2377,13849,3939,7072,6690,11640,7614,689,1603,4630,4012,6353,-1
49,0,3,1,0,4,2,8,7,8,5,13731,12408,9706,6150,6332,3633,7105,2163,3002,4252,2701,2584,-1
44,0,2,2,29,10,2,0,5,2,1,18310,17756,7550,16484,20846,914,5487,5904,6702,6752,282,1773,-1
4,0,6,3,5,5,10,0,9,5,2,8909,207,18188,18802,2337,16007,264,1811,3162,5896,4692,5658,-1
23,0,1,3,25,8,8,7,6,0,3,14727,20992,7821,11947,18362,14991,618,2666,2370,2796,2572,1627,-1
36,0,1,2,54,8,10,4,5,6,3,11028,11411,10668,760,6671,19573,1968,3872,3280,542,4665,6702,-1
2,0,0,1,4,7,9,9,0,6,2,9136,10246,4191,16292,9914,8243,2274,682,1405,3933,1719,2848,-1
75,0,1,1,43,10,2,1,3,1,4,21620,2939,7764,9677,7261,4779,5857,1179,2153,6844,4205,5706,-1
58,0,0,3,14,9,6,4,6,9,6,15632,7831,6057,5910,1817,12592,6329,5293,5462,81,4502,332,-1
15,0,2,3,41,9,5,10,0,1,8,19099,13221,8783,6069,19954,10905,4796,5546,3046,6391,4700,985,-1
25,0,2,1,39,9,5,10,9,9,3,16577,1998,16041,15050,1463,4372,7873,3349,6632,4370,1103,1014,-1
